. кроме того , :  count:282  textCnt:261
миллион год назад . :  count:21  textCnt:20
. как сообщаю bbc :  count:20  textCnt:20
международный космический станция , :  count:20  textCnt:20
космический корабль союз тма :  count:20  textCnt:18
. в отличие от :  count:20  textCnt:20
между тем , как :  count:20  textCnt:20
как сообщаю bbc news :  count:20  textCnt:20
сообщаю bbc news , :  count:20  textCnt:20
в случай , если :  count:19  textCnt:19
в открытый космос , :  count:19  textCnt:18
по их слово , :  count:19  textCnt:19
агентство associated press . :  count:19  textCnt:19
, в свой очередь :  count:19  textCnt:19
риа новость . как :  count:19  textCnt:19
, по его слово :  count:19  textCnt:19
, сообщаюсь в пресс :  count:18  textCnt:18
вместе с тем , :  count:18  textCnt:18
. как сообщаюсь ранее :  count:18  textCnt:18
его слово , в :  count:18  textCnt:18
. до сей пора :  count:18  textCnt:18
центр управление полёт цуп :  count:18  textCnt:18
, который , по :  count:18  textCnt:17
институт медико биологический проблема :  count:18  textCnt:17
том , что в :  count:18  textCnt:18
с тем , что :  count:17  textCnt:17
. как сообщил в :  count:17  textCnt:16
. однако , по :  count:17  textCnt:17
в центр управление полёт :  count:17  textCnt:16
на пресс конференция в :  count:17  textCnt:17
. по слово учёный :  count:17  textCnt:16
как сообщаю риа новость :  count:17  textCnt:17
new york times . :  count:17  textCnt:17
. пру это , :  count:17  textCnt:17
. известно , что :  count:17  textCnt:17
по их мнение , :  count:17  textCnt:17
до сей пора не :  count:17  textCnt:17
. более того , :  count:17  textCnt:16
миллион год назад , :  count:17  textCnt:15
в то же время :  count:17  textCnt:17
, в то время :  count:16  textCnt:16
, в отличие от :  count:16  textCnt:16
ранее сообщаюсь , что :  count:16  textCnt:16
. к такой вывод :  count:16  textCnt:16
он отметил , что :  count:16  textCnt:16
два с половина год :  count:16  textCnt:14
в том случай , :  count:16  textCnt:12
европейский космический агентство , :  count:16  textCnt:15
тысяча год назад . :  count:16  textCnt:13
в то время как :  count:16  textCnt:16
к такой вывод пришёл :  count:16  textCnt:16
министр оборона рф сергей :  count:16  textCnt:16
, сообщаю cnn . :  count:16  textCnt:16
риа новость . о :  count:16  textCnt:16
новость . о это :  count:16  textCnt:16
, передаю reuters . :  count:16  textCnt:16
оборона рф сергей иван :  count:16  textCnt:16
учёный утверждаю , что :  count:16  textCnt:16
не исключаю , что :  count:16  textCnt:16
, считаю , что :  count:16  textCnt:16
корреспондент лента . ру :  count:16  textCnt:15
не исключён , что :  count:15  textCnt:15
, с помощь который :  count:15  textCnt:14
. учёный полагаю , :  count:15  textCnt:14
, сообщаю агентство reuters :  count:15  textCnt:15
в ирак и афганистан :  count:15  textCnt:12
тысяча год назад , :  count:15  textCnt:15
центр управление полёт , :  count:15  textCnt:14
сообщаю агентство reuters . :  count:15  textCnt:15
. как сообщаю риа :  count:15  textCnt:15
, утверждаю , что :  count:15  textCnt:15
том случай , если :  count:15  textCnt:12
, а также в :  count:15  textCnt:14
, как правило , :  count:15  textCnt:15
по московский временю в :  count:15  textCnt:15
space . com . :  count:15  textCnt:15
стал известно , что :  count:15  textCnt:15
представитель центр управление полёт :  count:15  textCnt:15
. в свой очередь :  count:14  textCnt:14
по московский временю , :  count:14  textCnt:14
. ранее сообщаюсь , :  count:14  textCnt:14
сообщаю корреспондент лента . :  count:14  textCnt:14
сообщаю риа новость , :  count:14  textCnt:14
в плотный слой атмосфера :  count:14  textCnt:14
центр управление полёт . :  count:14  textCnt:14
заявил в интервью агентство :  count:14  textCnt:13
учёный предполагаю , что :  count:14  textCnt:14
риа новость с ссылка :  count:14  textCnt:14
корабль союз тма 5 :  count:14  textCnt:13
газета new york times :  count:14  textCnt:14
агентство риа новость . :  count:14  textCnt:14
в 2007 год . :  count:14  textCnt:14
между тем , по :  count:14  textCnt:14
миллиард год назад . :  count:14  textCnt:14
работа в открытый космос :  count:14  textCnt:12
информационный агентство риа новость :  count:14  textCnt:14
. однако , как :  count:14  textCnt:13
. о это в :  count:14  textCnt:14
агентство по аэронавтика и :  count:14  textCnt:14
. по информация сайт :  count:14  textCnt:14
. в соответствие с :  count:14  textCnt:14
новость с ссылка на :  count:14  textCnt:14
. в то же :  count:14  textCnt:14
на то , чтобы :  count:14  textCnt:14
космодром на мыс канаверал :  count:13  textCnt:12
, в результат чего :  count:13  textCnt:13
, показал , что :  count:13  textCnt:13
в первый очередь , :  count:13  textCnt:12
. по их слово :  count:13  textCnt:13
сообщаю итар тасс . :  count:13  textCnt:13
, заявил он . :  count:13  textCnt:13
, сообщаю defense industry :  count:13  textCnt:13
тот факт , что :  count:13  textCnt:13
год до наш эра :  count:13  textCnt:12
кроме того , на :  count:13  textCnt:13
, сообщаю итар тасс :  count:13  textCnt:13
, прежде весь , :  count:13  textCnt:13
. как сообщаю газета :  count:13  textCnt:13
ракетен космический корпорация энергия :  count:13  textCnt:13
экипаж международный космический станция :  count:13  textCnt:13
. он отметил , :  count:13  textCnt:13
, что в время :  count:13  textCnt:13
сообщаю defense industry daily :  count:13  textCnt:13
, что привёл к :  count:13  textCnt:12
километр в час , :  count:12  textCnt:11
, что один из :  count:12  textCnt:11
за предел солнечный система :  count:12  textCnt:12
кроме того , по :  count:12  textCnt:12
. в прошлое год :  count:12  textCnt:12
из за того , :  count:12  textCnt:12
газета washington post . :  count:12  textCnt:12
. так , в :  count:12  textCnt:12
в настоящее время на :  count:12  textCnt:12
defense industry daily . :  count:12  textCnt:12
год . о это :  count:12  textCnt:12
. пру это в :  count:12  textCnt:12
. по слово один :  count:12  textCnt:12
салижана шарипов и лероя :  count:12  textCnt:12
. речь иду о :  count:12  textCnt:12
. в связь с :  count:12  textCnt:12
в 1997 год . :  count:12  textCnt:12
исследование показал , что :  count:12  textCnt:12
внешний топливный бак , :  count:12  textCnt:11
, передаю агентство reuters :  count:12  textCnt:12
. за это время :  count:12  textCnt:12
февраль 2003 год . :  count:12  textCnt:12
. по их мнение :  count:12  textCnt:12
по предварительный данные , :  count:12  textCnt:12
заявление , в котор :  count:12  textCnt:8
шарипов и лероя чиао :  count:12  textCnt:12
, сообщаю bbc . :  count:12  textCnt:12
. по слово специалист :  count:12  textCnt:11
, заявил в интервью :  count:12  textCnt:12
по слово один из :  count:12  textCnt:12
заявил , что в :  count:12  textCnt:12
по мнение исследователь , :  count:12  textCnt:12
российский центр управление полёт :  count:12  textCnt:11
представитель космический войско рф :  count:12  textCnt:12
в 2003 год . :  count:12  textCnt:12
к международный космический станция :  count:12  textCnt:12
вышел в открытый космос :  count:12  textCnt:11
отметил , что в :  count:12  textCnt:12
. для того , :  count:12  textCnt:11
сайт space . com :  count:12  textCnt:12
, добавил он . :  count:12  textCnt:12
за того , что :  count:12  textCnt:12
. как известно , :  count:12  textCnt:11
. он добавил , :  count:11  textCnt:10
это означаю , что :  count:11  textCnt:11
в 2006 год . :  count:11  textCnt:11
в тихий океан , :  count:11  textCnt:9
, считаю учёный , :  count:11  textCnt:11
, который должен есть :  count:11  textCnt:10
и европейский космический агентство :  count:11  textCnt:11
. после того , :  count:11  textCnt:11
. по мнение специалист :  count:11  textCnt:11
, передаю агентство риа :  count:11  textCnt:11
как сообщаю associated press :  count:11  textCnt:11
передаю агентство риа новость :  count:11  textCnt:11
в частность , в :  count:11  textCnt:11
, что в настоящее :  count:11  textCnt:11
. в настоящий момент :  count:11  textCnt:11
сообщаю associated press , :  count:11  textCnt:11
сообщаю universe today . :  count:11  textCnt:11
. о том , :  count:11  textCnt:11
год от земля . :  count:11  textCnt:11
в связь с это :  count:11  textCnt:10
группа российский войско в :  count:11  textCnt:11
, к пример , :  count:11  textCnt:11
, сообщаю universe today :  count:11  textCnt:11
февраль 2003 год , :  count:11  textCnt:11
, по мнение учёный :  count:11  textCnt:11
он добавил , что :  count:11  textCnt:10
как отмечаюсь на сайт :  count:11  textCnt:11
, сообщаю информационный агентство :  count:11  textCnt:11
что в настоящее время :  count:11  textCnt:11
возбудил уголовный дело по :  count:11  textCnt:11
, в результат который :  count:11  textCnt:11
по весь видимость , :  count:11  textCnt:11
, сообщаю new scientist :  count:11  textCnt:11
президент россия владимир путин :  count:11  textCnt:11
, говорюсь в сообщение :  count:11  textCnt:9
. скорее весь , :  count:11  textCnt:11
заключаюсь в том , :  count:11  textCnt:11
газета the guardian . :  count:11  textCnt:11
сообщаю new scientist . :  count:11  textCnt:11
, который , как :  count:11  textCnt:11
. как сообщаю associated :  count:11  textCnt:11
передаю агентство reuters . :  count:11  textCnt:11
. я думаю , :  count:11  textCnt:11
привёл к том , :  count:11  textCnt:10
того , как в :  count:11  textCnt:10
. как отмечаюсь на :  count:10  textCnt:10
спутник связь молния 3к :  count:10  textCnt:9
по аэронавтика и исследование :  count:10  textCnt:10
градус по цельсий . :  count:10  textCnt:9
, несмотря на то :  count:10  textCnt:9
российский войско в закавказье :  count:10  textCnt:10
по московский временю с :  count:10  textCnt:10
ракета носитель среднее класс :  count:10  textCnt:10
аэронавтика и исследование космический :  count:10  textCnt:10
передаю агентство associated press :  count:10  textCnt:10
иван заявил , что :  count:10  textCnt:10
год . по слово :  count:10  textCnt:10
лента . ру . :  count:10  textCnt:10
на внешний поверхность мкс :  count:10  textCnt:10
. то , что :  count:10  textCnt:10
с космодром на мыс :  count:10  textCnt:9
европейский космический агентство esa :  count:10  textCnt:10
год . кроме того :  count:10  textCnt:10
в октябрь 2003 год :  count:10  textCnt:10
с половина час . :  count:10  textCnt:10
аэронавтика и космический исследование :  count:10  textCnt:10
от внешний топливный бак :  count:10  textCnt:10
предел солнечный система . :  count:10  textCnt:10
, опубликованный в журнал :  count:10  textCnt:10
, напоминаю агентство . :  count:10  textCnt:9
миллион доллар . в :  count:10  textCnt:10
. учёный утверждаю , :  count:10  textCnt:10
по мнение эксперт , :  count:10  textCnt:10
год назад , в :  count:10  textCnt:10
, передаю агентство associated :  count:10  textCnt:10
в май 2005 год :  count:10  textCnt:10
, о это заявил :  count:10  textCnt:10
, в первый очередь :  count:10  textCnt:10
и исследование космический пространство :  count:10  textCnt:10
по аэронавтика и космический :  count:10  textCnt:10
в 2001 год , :  count:10  textCnt:10
. по предварительный данные :  count:10  textCnt:10
сообщаю агентство associated press :  count:10  textCnt:10
в течение два неделя :  count:10  textCnt:10
свидетельствую о том , :  count:10  textCnt:9
о это , как :  count:10  textCnt:10
с космодром плесецк в :  count:10  textCnt:8
, по слово представитель :  count:10  textCnt:10
кроме того , он :  count:10  textCnt:10
и , возможно , :  count:10  textCnt:10
с военный спутник связь :  count:10  textCnt:10
также отметил , что :  count:10  textCnt:10
о это говорюсь в :  count:10  textCnt:10
. о это , :  count:10  textCnt:10
российский космонавт салижан шарип :  count:10  textCnt:10
до того , как :  count:10  textCnt:10
он подчеркнул , что :  count:10  textCnt:10
nasa шон о киф :  count:9  textCnt:9
в июль 2004 год :  count:9  textCnt:9
который , по мнение :  count:9  textCnt:8
между тем , в :  count:9  textCnt:9
на орбита сатурн , :  count:9  textCnt:9
. кроме это , :  count:9  textCnt:9
о это заявил в :  count:9  textCnt:9
это , как передаю :  count:9  textCnt:9
4 , 5 миллиард :  count:9  textCnt:9
министр оборона россия сергей :  count:9  textCnt:9
глава роскосмос анатолий перминов :  count:9  textCnt:9
сообщаю риа новость с :  count:9  textCnt:9
я думаю , что :  count:9  textCnt:9
посадка на поверхность титан :  count:9  textCnt:9
сообщил также , что :  count:9  textCnt:7
молния м с военный :  count:9  textCnt:8
среднее класс молния м :  count:9  textCnt:9
. о это сообщаюсь :  count:9  textCnt:9
. по слово руководитель :  count:9  textCnt:9
риа новость , о :  count:9  textCnt:9
45 по московский временю :  count:9  textCnt:9
м с военный спутник :  count:9  textCnt:8
марсоход spirit и opportunity :  count:9  textCnt:9
заявил на пресс конференция :  count:9  textCnt:9
новость . по слово :  count:9  textCnt:9
тысяча километр в час :  count:9  textCnt:9
, не сообщаюсь . :  count:9  textCnt:9
. на сегодняшний день :  count:9  textCnt:9
. учёный предполагаю , :  count:9  textCnt:9
, из за который :  count:9  textCnt:9
. в это год :  count:9  textCnt:9
, 5 миллиард доллар :  count:9  textCnt:8
, 5 миллиард год :  count:9  textCnt:9
по мнение специалист , :  count:9  textCnt:9
пять с половина час :  count:9  textCnt:9
новость . как сообщил :  count:9  textCnt:9
2003 год . в :  count:9  textCnt:9
. по мнение исследователь :  count:9  textCnt:9
военный спутник связь молния :  count:9  textCnt:8
глава nasa шон о :  count:9  textCnt:9
тем , что в :  count:9  textCnt:9
. в 2004 год :  count:9  textCnt:9
состою в том , :  count:9  textCnt:9
в 2002 год . :  count:9  textCnt:9
. с такой заявление :  count:9  textCnt:9
грузовой корабль прогресс м :  count:9  textCnt:8
, сообщаю корреспондент лента :  count:9  textCnt:9
2003 год , когда :  count:9  textCnt:9
год назад , сообщаю :  count:9  textCnt:9
орбита международный космический станция :  count:9  textCnt:8
его слово , на :  count:9  textCnt:9
, такой образ , :  count:9  textCnt:9
доказательство того , что :  count:9  textCnt:9
январь 2005 год . :  count:9  textCnt:9
с американский спутник связь :  count:9  textCnt:9
, из за чего :  count:9  textCnt:9
. к пример , :  count:9  textCnt:8
сайт bbc news , :  count:9  textCnt:9
в этот область . :  count:9  textCnt:9
год . пру это :  count:9  textCnt:9
. не исключён , :  count:9  textCnt:9
, в который есть :  count:9  textCnt:9
носитель среднее класс молния :  count:9  textCnt:9
космодром кура в французский :  count:9  textCnt:9
международный космический станция в :  count:9  textCnt:9
, по крайний мера :  count:9  textCnt:9
минута по московский временю :  count:9  textCnt:5
. в 2003 год :  count:9  textCnt:9
, сообщил , что :  count:9  textCnt:9
й экспедиция на мкс :  count:8  textCnt:8
, который в настоящее :  count:8  textCnt:8
, в связь с :  count:8  textCnt:8
договор о нераспространение ядерный :  count:8  textCnt:6
, находившийся на борт :  count:8  textCnt:7
оборона россия сергей иван :  count:8  textCnt:8
военный баз на территория :  count:8  textCnt:8
. несмотря на это :  count:8  textCnt:8
только в том случай :  count:8  textCnt:6
сергей крикалев и джон :  count:8  textCnt:8
стартовый платформа и командный :  count:8  textCnt:4
в пресс релиз на :  count:8  textCnt:8
. как правило , :  count:8  textCnt:8
учёный установил , что :  count:8  textCnt:8
предполагаюсь , что в :  count:8  textCnt:8
учёный надеюсь , что :  count:8  textCnt:8
. по слово глава :  count:8  textCnt:7
сообщил в центр управление :  count:8  textCnt:8
причина , по который :  count:8  textCnt:8
километр от земля . :  count:8  textCnt:8
в январь 2004 год :  count:8  textCnt:8
с такой заявление выступил :  count:8  textCnt:8
, по его мнение :  count:8  textCnt:8
. о это свидетельствую :  count:8  textCnt:8
также сообщил , что :  count:8  textCnt:8
миллион доллар в год :  count:8  textCnt:7
пру это , по :  count:8  textCnt:8
в верхний слой атмосфера :  count:8  textCnt:8
московский временю в вторник :  count:8  textCnt:8
, после того как :  count:8  textCnt:8
связь с тем , :  count:8  textCnt:8
в тихий океан . :  count:8  textCnt:8
международный космический станция . :  count:8  textCnt:8
вероятность того , что :  count:8  textCnt:7
с половина год , :  count:8  textCnt:8
. согласно один из :  count:8  textCnt:8
по её слово , :  count:8  textCnt:8
год , в течение :  count:8  textCnt:8
агентство риа новость , :  count:8  textCnt:8
несмотря на это , :  count:8  textCnt:8
планет солнечный система , :  count:8  textCnt:8
. как заявил в :  count:8  textCnt:8
в частность , он :  count:8  textCnt:8
кура в французский гвиана :  count:8  textCnt:8
закон о воинский обязанность :  count:8  textCnt:4
. пру это он :  count:8  textCnt:8
который , возможно , :  count:8  textCnt:8
. выяснился , что :  count:8  textCnt:8
, 5 метр . :  count:8  textCnt:8
центр подготовка космонавт имя :  count:8  textCnt:8
в связь с тем :  count:8  textCnt:8
сергей иван заявил , :  count:8  textCnt:8
, в время который :  count:8  textCnt:8
не исключил , что :  count:8  textCnt:8
класс молния м с :  count:8  textCnt:8
в 10 миллион доллар :  count:8  textCnt:7
сообщаюсь на сайт space :  count:8  textCnt:8
. с другой сторона :  count:8  textCnt:7
ракета носитель молния м :  count:8  textCnt:6
платформа и командный судно :  count:8  textCnt:4
новость , о это :  count:8  textCnt:8
на высота 100 километр :  count:8  textCnt:8
с тем , чтобы :  count:8  textCnt:8
, отметив , что :  count:8  textCnt:8
. один из они :  count:8  textCnt:8
, что , по :  count:8  textCnt:8
1 февраль 2003 год :  count:8  textCnt:8
. после того как :  count:8  textCnt:8
. между тем в :  count:8  textCnt:8
том , что на :  count:8  textCnt:8
. это означаю , :  count:8  textCnt:8
, на борт который :  count:8  textCnt:8
на сайт space . :  count:8  textCnt:8
который в настоящее время :  count:8  textCnt:8
, что в ближайший :  count:8  textCnt:8
в статья , опубликованный :  count:8  textCnt:8
в 2001 год . :  count:8  textCnt:8
по крайний мера , :  count:8  textCnt:8
год назад , когда :  count:8  textCnt:8
московский временю с космодром :  count:8  textCnt:8
сообщаю reuters . в :  count:8  textCnt:8
, в течение который :  count:8  textCnt:8
в юго восточный азия :  count:8  textCnt:8
совершил посадка на поверхность :  count:8  textCnt:8
по оценка эксперт , :  count:8  textCnt:8
он . напомнил , :  count:8  textCnt:8
он пояснил , что :  count:8  textCnt:8
на борт который нахожусь :  count:8  textCnt:8
. по оценка специалист :  count:8  textCnt:8
статья , опубликованный в :  count:8  textCnt:8
. исследование показал , :  count:8  textCnt:8
учение мирный миссия 2005 :  count:8  textCnt:5
, сообщаю msnbc . :  count:8  textCnt:8
на сайт газета the :  count:8  textCnt:8
шарип и лера чиао :  count:8  textCnt:7
на сайт газета guardian :  count:8  textCnt:8
в интервью агентство представитель :  count:8  textCnt:8
миллиард доллар . в :  count:8  textCnt:7
в то время , :  count:7  textCnt:7
компания scaled composites , :  count:7  textCnt:7
. в рамка программа :  count:7  textCnt:7
временю в вторник . :  count:7  textCnt:7
на луна и марс :  count:7  textCnt:5
. в ход учение :  count:7  textCnt:6
nasa заявил , что :  count:7  textCnt:7
, сообщаю abc news :  count:7  textCnt:7
на сайт nasa . :  count:7  textCnt:7
по слово министр , :  count:7  textCnt:5
associated press . в :  count:7  textCnt:7
. в целое , :  count:7  textCnt:7
версия о том , :  count:7  textCnt:7
космический войско рф юрий :  count:7  textCnt:7
, возможно , есть :  count:7  textCnt:7
как сообщаю cnn , :  count:7  textCnt:7
. космический аппарат cassini :  count:7  textCnt:7
год , а в :  count:7  textCnt:7
, из который состою :  count:7  textCnt:7
. по один из :  count:7  textCnt:7
животное и растение , :  count:7  textCnt:7
. по сравнение с :  count:7  textCnt:7
на мыс канаверал в :  count:7  textCnt:7
cassini huygens есть запущен :  count:7  textCnt:7
президент сша джордж буш :  count:7  textCnt:7
салижан шарип и лера :  count:7  textCnt:6
в 2008 год . :  count:7  textCnt:7
20 миллион доллар . :  count:7  textCnt:7
. как говорюсь в :  count:7  textCnt:7
апрель 2005 год . :  count:7  textCnt:7
и южный корея . :  count:7  textCnt:7
опубликован в журнал nature :  count:7  textCnt:7
год . как сообщаю :  count:7  textCnt:7
опубликованный в журнал nature :  count:7  textCnt:7
на борт корабль . :  count:7  textCnt:7
, пока не есть :  count:7  textCnt:7
. по слово заместитель :  count:7  textCnt:7
полёт на луна и :  count:7  textCnt:6
с другой сторона , :  count:7  textCnt:6
до наш эра , :  count:7  textCnt:7
5 миллиард доллар . :  count:7  textCnt:7
космический станция , сообщаю :  count:7  textCnt:7
свидетельство того , что :  count:7  textCnt:7
орбита сатурн cassini вышел :  count:7  textCnt:7
молния 3к стартовал с :  count:7  textCnt:7
bbc news . в :  count:7  textCnt:7
связь молния 3к стартовал :  count:7  textCnt:7
, что в ход :  count:7  textCnt:7
в нпо имя лавочкин :  count:7  textCnt:6
49 по московский временю :  count:7  textCnt:7
, подчеркнул он . :  count:7  textCnt:6
колумбия в февраль 2003 :  count:7  textCnt:7
котор говорюсь , что :  count:7  textCnt:7
. в рамка этот :  count:7  textCnt:7
вышел в июль 2004 :  count:7  textCnt:7
европейский космический агентство . :  count:7  textCnt:7
, так как в :  count:7  textCnt:6
однако , по слово :  count:7  textCnt:7
того , что в :  count:7  textCnt:7
представитель цуп валерий лындин :  count:7  textCnt:7
сатурн cassini вышел в :  count:7  textCnt:7
, произошёл аварийный остановка :  count:7  textCnt:7
, говорюсь , что :  count:7  textCnt:7
. в это случай :  count:7  textCnt:7
доллар в год . :  count:7  textCnt:7
о это сообщаюсь в :  count:7  textCnt:7
. в первое , :  count:7  textCnt:7
the new york times :  count:7  textCnt:7
это заявил в интервью :  count:7  textCnt:7
в ближайший пять год :  count:7  textCnt:7
3к стартовал с космодром :  count:7  textCnt:7
. в случай , :  count:7  textCnt:7
10 миллион доллар . :  count:7  textCnt:7
сообщаю информационный агентство риа :  count:7  textCnt:7
о нераспространение ядерный оружие :  count:7  textCnt:5
. в последний время :  count:7  textCnt:7
. на орбита сатурн :  count:7  textCnt:7
с российский подводной лодка :  count:7  textCnt:6
, что речь иду :  count:7  textCnt:7
. напомнил , ранее :  count:7  textCnt:7
, который могу бы :  count:7  textCnt:7
, а в перспектива :  count:7  textCnt:7
, отметил , что :  count:7  textCnt:7
, передаю интерфакс . :  count:7  textCnt:7
в журнал nature . :  count:7  textCnt:7
два с половина час :  count:7  textCnt:7
риа новость . с :  count:7  textCnt:7
с февраль 2003 год :  count:7  textCnt:7
нобелевский премия по физик :  count:7  textCnt:7
есть отделиться второй ступень :  count:7  textCnt:7
, в соответствие с :  count:7  textCnt:7
человек , находившийся на :  count:7  textCnt:6
произошёл аварийный остановка двигатель :  count:7  textCnt:7
. по её слово :  count:7  textCnt:7
информация о том , :  count:7  textCnt:7
. в 2001 год :  count:7  textCnt:7
, в ход который :  count:7  textCnt:7
космический аппарат cassini huygens :  count:7  textCnt:7
для двигатель ориентация , :  count:7  textCnt:7
американский космический агентство nasa :  count:7  textCnt:7
как передаю риа новость :  count:7  textCnt:7
сообщаюсь на сайт nasa :  count:7  textCnt:7
, в состав который :  count:7  textCnt:7
по московский временю на :  count:7  textCnt:7
. в 2005 год :  count:7  textCnt:7
то , что в :  count:7  textCnt:7
на орбита сатурн cassini :  count:7  textCnt:7
в ноябрь 2004 год :  count:7  textCnt:7
, но из за :  count:7  textCnt:7
октябрь 2004 год . :  count:7  textCnt:7
, в 1997 год :  count:7  textCnt:7
по слово специалист , :  count:7  textCnt:6
, в который вхожу :  count:7  textCnt:7
, сообщаю независимый газета :  count:7  textCnt:7
считаю , что на :  count:7  textCnt:7
луна и марс . :  count:7  textCnt:7
. как пишу в :  count:7  textCnt:7
, что имя удался :  count:7  textCnt:6
до сей пора . :  count:7  textCnt:7
передаю риа новость , :  count:7  textCnt:7
должен есть отделиться второй :  count:7  textCnt:7
пресс релиз на сайт :  count:7  textCnt:7
считаю , что в :  count:7  textCnt:7
и добавил , что :  count:7  textCnt:7
cassini вышел в июль :  count:7  textCnt:7
на том , что :  count:7  textCnt:7
до сей пора , :  count:7  textCnt:7
, который нахожусь в :  count:7  textCnt:7
сообщаю abc news . :  count:7  textCnt:7
на пресс конференция , :  count:7  textCnt:7
, пишу в понедельник :  count:7  textCnt:7
в рамка этот программа :  count:7  textCnt:7
new york times , :  count:7  textCnt:7
, в котор говорюсь :  count:7  textCnt:7
с космодром кура в :  count:7  textCnt:7
в котор говорюсь , :  count:7  textCnt:7
запас топливо для двигатель :  count:7  textCnt:7
отделиться второй ступень , :  count:7  textCnt:7
, передаю итар тасс :  count:7  textCnt:7
08 по московский временю :  count:7  textCnt:7
аварийный остановка двигатель , :  count:7  textCnt:7
, как стал известно :  count:7  textCnt:7
топливо для двигатель ориентация :  count:7  textCnt:7
, который расположен в :  count:7  textCnt:7
в март это год :  count:7  textCnt:7
. в время полёт :  count:7  textCnt:7
риа новость . такой :  count:7  textCnt:7
американский астронавт лера чиао :  count:7  textCnt:7
станция , сообщаю риа :  count:7  textCnt:7
остановка двигатель , и :  count:7  textCnt:7
планет за предел солнечный :  count:7  textCnt:7
не вышел на орбита :  count:7  textCnt:7
space . com , :  count:7  textCnt:7
в настоящее время , :  count:7  textCnt:7
вышел на орбита . :  count:7  textCnt:7
на внешний поверхность станция :  count:7  textCnt:5
передаю итар тасс . :  count:7  textCnt:7
с ссылка на представитель :  count:7  textCnt:7
аппарат cassini huygens есть :  count:7  textCnt:7
. как сообщаю cnn :  count:7  textCnt:7
. напомнил , ракета :  count:7  textCnt:7
